kepoi_name,koi_period,koi_prad,koi_teq,koi_disposition
,0,0,0,
K03133.01,0.241843,3.27e-07,-3.27e-07,FALSE POSITIVE
K04419.01,0.25982,4.04e-07,-4.04e-07,CANDIDATE
K01079.01,0.29363,1.15e-07,-1.15e-07,FALSE POSITIVE
K02875.01,0.299698,1.91e-07,-1.91e-07,FALSE POSITIVE
K07859.01,0.306702,7.19e-07,-7.19e-07,CANDIDATE
K02916.01,0.306938,3.33e-07,-3.33e-07,FALSE POSITIVE
K01415.01,0.312942,5.2e-08,-5.2e-08,FALSE POSITIVE
K01345.01,0.323022,5.3e-08,-5.3e-08,FALSE POSITIVE
K02622.01,0.328687,4.62e-07,-4.62e-07,FALSE POSITIVE
K02879.01,0.33907,4.23e-07,-4.23e-07,FALSE POSITIVE
K04441.01,0.341842,2.28e-07,-2.28e-07,CONFIRMED
K02874.01,0.352516,4.27e-07,-4.27e-07,CANDIDATE
K01642.01,0.36486,1.066e-06,-1.066e-06,FALSE POSITIVE
K00033.01,0.366197,1.025e-06,-1.025e-06,FALSE POSITIVE
K03044.01,0.373685,2.77e-07,-2.77e-07,FALSE POSITIVE
K07213.01,0.379412,3.003e-06,-3.003e-06,FALSE POSITIVE
K00966.01,0.379464,2.8e-08,-2.8e-08,FALSE POSITIVE
K01200.01,0.393727,3.87e-07,-3.87e-07,FALSE POSITIVE
K01190.01,0.393727,4.14e-07,-4.14e-07,FALSE POSITIVE
K01092.01,0.413334,1.39e-07,-1.39e-07,FALSE POSITIVE
K04819.01,0.416995,9.06e-07,-9.06e-07,FALSE POSITIVE
K02950.01,0.422016,6e-08,-6e-08,FALSE POSITIVE
K02983.01,0.423854,5.69e-07,-5.69e-07,FALSE POSITIVE
K04844.01,0.428046,1.093e-06,-1.093e-06,CANDIDATE
K00066.01,0.436283,8.8e-08,-8.8e-08,FALSE POSITIVE
K04417.01,0.438154,5.94e-07,-5.94e-07,FALSE POSITIVE
K00796.01,0.444292,9.7e-08,-9.7e-08,FALSE POSITIVE
K01167.01,0.445275,4.95e-07,-4.95e-07,FALSE POSITIVE
K01171.01,0.445277,1.434e-06,-1.434e-06,FALSE POSITIVE
K07353.01,0.447821,5.12e-07,-5.12e-07,FALSE POSITIVE
