rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
342,10287723,K01174.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,129996,0.7127,9.408,1474.9,2.99,25,0
9537,10081899,K08196.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,522.646,0.007,17.77,648.1,0.8,92,0.02
6175,6036286,K05228.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,546.533,0.6074,16.04,758,1.03,94,0.02
5929,5428199,K05162.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,628.158,0.2733,12.144,502.3,0.95,101,0.03
6801,11722217,K05930.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,302.776,0.1265,3.183,1106,1,106,0.03
3340,8505215,K00099.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,2190.7,0.2597,19.891,1874.2,3.12,109,0.03
8648,6508734,K07568.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,480.038,0.2596,16.25,717.4,1.14,109,0.03
6751,10130646,K05765.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,390.408,0.0407,7.916,251.9,0.63,115,0.04
6686,9142334,K05624.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,502.658,0.3138,19.51,216,0.69,116,0.04
6289,6347434,K05265.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,425.229,0.1812,6.76,829,1.4,125,0.06
3033,3239945,K00490.02,Kepler-167 e,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,1071.23,0.216,16.1784,19046,9.27,129,0.07
6746,9216231,K05641.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,616.341,0.28,12.724,1287,2.11,131,0.07
8325,8423344,K07592.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,381.98,0.2178,15.7,900,1.55,132,0.07
6058,4540508,K05069.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,362.127,0.0924,6.719,1098,1.68,132,0.07
