rowid,kepoi_name,koi_period,koi_prad,koi_teq
5832,K03133.01,0.241843,3.27e-07,-3.27e-07
3810,K04419.01,0.25982,4.04e-07,-4.04e-07
533,K01079.01,0.29363,1.15e-07,-1.15e-07
5654,K02875.01,0.299698,1.91e-07,-1.91e-07
9474,K07859.01,0.306702,7.19e-07,-7.19e-07
5845,K02916.01,0.306938,3.33e-07,-3.33e-07
948,K01415.01,0.312942,5.2e-08,-5.2e-08
918,K01345.01,0.323022,5.3e-08,-5.3e-08
9099,K02622.01,0.328687,4.62e-07,-4.62e-07
5655,K02879.01,0.33907,4.23e-07,-4.23e-07
3874,K04441.01,0.341842,2.28e-07,-2.28e-07
5653,K02874.01,0.352516,4.27e-07,-4.27e-07
8730,K01642.01,0.36486,1.066e-06,-1.066e-06
2111,K00033.01,0.366197,1.025e-06,-1.025e-06
5875,K03044.01,0.373685,2.77e-07,-2.77e-07
8930,K07213.01,0.379412,3.003e-06,-3.003e-06
322,K00966.01,0.379464,2.8e-08,-2.8e-08
428,K01200.01,0.393727,3.87e-07,-3.87e-07
452,K01190.01,0.393727,4.14e-07,-4.14e-07
600,K01092.01,0.413334,1.39e-07,-1.39e-07
4675,K04819.01,0.416995,9.06e-07,-9.06e-07
5863,K02950.01,0.422016,6e-08,-6e-08
8504,K02983.01,0.423854,5.69e-07,-5.69e-07
4470,K04844.01,0.428046,1.093e-06,-1.093e-06
2759,K00066.01,0.436283,8.8e-08,-8.8e-08
3791,K04417.01,0.438154,5.94e-07,-5.94e-07
84,K00796.01,0.444292,9.7e-08,-9.7e-08
649,K01167.01,0.445275,4.95e-07,-4.95e-07
321,K01171.01,0.445277,1.434e-06,-1.434e-06
8424,K07353.01,0.447821,5.12e-07,-5.12e-07
4035,K04397.01,0.447861,8.69e-07,-8.69e-07
9158,K06999.01,0.449249,5.17e-07,-5.17e-07
651,K00961.02,0.453287,1.02e-07,-1.02e-07
1081,K01565.01,0.466744,2.13e-07,-2.13e-07
5548,K03980.01,0.469335,3.94e-07,-3.94e-07
5652,K02858.01,0.474629,7.36e-07,-7.36e-07
9124,K07726.01,0.474811,1.847e-06,-1.847e-06
5590,K02814.01,0.475069,9.22e-07,-9.22e-07
3595,K04144.01,0.487656,8.46e-07,-8.46e-07
5520,K03974.01,0.489682,1.922e-06,-1.922e-06
3817,K04216.01,0.492292,3.51e-07,-3.51e-07
2472,K02882.02,0.493394,1.293e-06,-1.293e-06
4401,K04685.01,0.494248,1.744e-06,-1.744e-06
5515,K02396.01,0.495434,4.41e-07,-4.41e-07
5203,K02093.03,0.49607,1.637e-06,-1.637e-06
2317,K02922.01,0.497582,1.602e-06,-1.602e-06
2306,K02763.01,0.498435,9.04e-07,-9.04e-07
4213,K03167.01,0.499665,1.149e-06,-1.149e-06
9454,K08081.01,0.502446,4.862e-06,-4.862e-06
8128,K07525.01,0.502454,4e-08,-4e-08
3596,K07642.01,0.502623,1.433e-06,-1.433e-06
8620,K05168.01,0.502807,5.1e-08,-5.1e-08
